number,boxer_name,boxrec_url,,,,
1,Saul Alvarez,https://boxrec.com/en/proboxer/348759,,,,
2,Jake Paul,https://boxrec.com/en/proboxer/912383,,,,
3,Oleksandr Usyk,https://boxrec.com/en/proboxer/659772,,,,
4,Joe Joyce,https://boxrec.com/en/proboxer/811429,,,,
5,Anthony Joshua,https://boxrec.com/en/proboxer/659461,,,,
6,Floyd Mayweather Jr.,https://boxrec.com/en/proboxer/352,,,,
7,Errol Spence Jr.,https://boxrec.com/en/proboxer/629465,,,,
8,Devin Haney,https://boxrec.com/en/proboxer/741718,,,,
9,Vasyl Lomachenko,https://boxrec.com/en/proboxer/659771,,,,
10,Jaron Ennis,https://boxrec.com/en/proboxer/756515,,,,
11,Kell Brook,https://boxrec.com/en/proboxer/272717.Kell+Brook+v+SenchenkoThe,,,,
12,Deontay Wilder,https://boxrec.com/en/proboxer/468841,,,,
13,Adrien Broner,https://boxrec.com/en/proboxer/455859,,,,
14,Mike Tyson,https://boxrec.com/en/proboxer/474,,,,
15,Andy Ruiz,https://boxrec.com/en/proboxer/489762,,,,
16,Manny Pacquiao,https://boxrec.com/en/proboxer/6129,,,,
17,Joseph Parker,https://boxrec.com/en/proboxer/613846,,,,
18,Amanda Serrano,https://boxrec.com/en/proboxer/488530,,,,
19,Dmitrii Bivol,https://boxrec.com/en/proboxer/703924,,,,
20,Roberto Duran,https://boxrec.com/en/proboxer/80,,,,
21,Don Moore,https://boxrec.com/en/proboxer/52298,,,,
22,Danny Garcia,https://boxrec.com/en/proboxer/429442,,,,
23,Robert Helenius,https://boxrec.com/en/proboxer/451505,,,,
24,Daniel Dubois,https://boxrec.com/en/proboxer/787430,,,,
25,Mikey Garcia,https://boxrec.com/en/proboxer/364679,,,,
26,Julio Cesar Chavez,https://boxrec.com/en/proboxer/8119,,,,
27,Roy Jones Jr.,https://boxrec.com/en/proboxer/774820,,,,
28,Dillian Whyte,https://boxrec.com/en/proboxer/569964,,,,
29,Nigel Benn,https://boxrec.com/en/proboxer/739,,,,
30,Wladimir Klitschko,https://boxrec.com/en/proboxer/7035,,,,
31,John Fury,https://boxrec.com/en/proboxer/27680,,,,
32,Muhammad Ali,https://boxrec.com/en/proboxer/180,,,,
33,David Lemieux,https://boxrec.com/en/proboxer/389447,,,,
34,Evander Holyfield,https://boxrec.com/en/proboxer/499,,,,
35,Katie Taylor,https://boxrec.com/en/proboxer/778185,,,,
36,Bernard Hopkins,https://boxrec.com/en/proboxer/1414,,,,
37,Ray Leonard,https://boxrec.com/en/proboxer/269,,,,
38,Daniel Jacobs,https://boxrec.com/en/proboxer/432984,,,,
39,Kubrat Pulev,https://boxrec.com/en/proboxer/511850,,,,
40,Sergey Kovalev,https://boxrec.com/en/proboxer/505927,,,,
41,Filip Hrgovic,https://boxrec.com/en/proboxer/813758,,,,
42,Nikolai Valuev,https://boxrec.com/en/proboxer/19904,,,,
43,Max Baer,https://boxrec.com/en/proboxer/12077,,,,
44,Lennox Lewis,https://boxrec.com/en/proboxer/1853,,,,
45,Ray Robinson,https://boxrec.com/en/proboxer/9625,,,,
46,Michael Hunter,https://boxrec.com/en/proboxer/640268,,,,
47,George Foreman,https://boxrec.com/en/proboxer/90,,,,
48,Anthony Mundine,https://boxrec.com/en/proboxer/14646,,,,
49,Ivan Nikolov,https://boxrec.com/en/proboxer/813004,,,,
50,Blair Cobbs,https://boxrec.com/en/proboxer/659411,,,,
51,Hasim Rahman Jr.,https://boxrec.com/en/proboxer/790284,,,,
52,Rocky Marciano,https://boxrec.com/en/proboxer/9032,,,,
53,Otto Wallin,https://boxrec.com/en/proboxer/651121,,,,
54,Logan Paul,https://boxrec.com/en/proboxer/896698,,,,
55,Mahmoud Charr,https://boxrec.com/en/proboxer/314362,,,,
56,Sonny Liston,https://boxrec.com/en/proboxer/9031,,,,
57,Ryota Murata,https://boxrec.com/en/proboxer/657422,,,,
58,Roger Mayweather,https://boxrec.com/en/proboxer/485,,,,
59,Adam Kownacki,https://boxrec.com/en/proboxer/512994,,,,
60,Efe Ajagba,https://boxrec.com/en/proboxer/804221,,,,
61,Michael Spinks,https://boxrec.com/en/proboxer/1286,,,,
62,Floyd Patterson,https://boxrec.com/en/proboxer/9038,,,,
63,Aaron Pryor,https://boxrec.com/en/proboxer/8993,,,,
64,Willie Pep,https://boxrec.com/en/proboxer/43,,,,
65,Terrel Williams,https://boxrec.com/en/proboxer/471653,,,,
66,Tevin Farmer,https://boxrec.com/en/proboxer/562946,,,,
67,Trey Lippe,https://boxrec.com/en/proboxer/678288,,,,
68,Vinny Pazienza,https://boxrec.com/en/proboxer/601,,,,
69,Pernell Whitaker,https://boxrec.com/en/proboxer/555,,,,
